Model,Location,MAPE,horizon,reference_date
MOBS-GLEAM_FLUH,02,0.25,-1,2024-02-10
MOBS-GLEAM_FLUH,04,0.0,-1,2024-02-10
MOBS-GLEAM_FLUH,05,0.041530612244898006,-1,2024-02-10
MOBS-GLEAM_FLUH,06,0.03473491773308958,-1,2024-02-10
MOBS-GLEAM_FLUH,08,0.10463265306122455,-1,2024-02-10
MOBS-GLEAM_FLUH,09,0.01800000000000004,-1,2024-02-10
MOBS-GLEAM_FLUH,10,0.04,-1,2024-02-10
MOBS-GLEAM_FLUH,11,0.014649999999999963,-1,2024-02-10
MOBS-GLEAM_FLUH,12,0.014693389592123773,-1,2024-02-10
MOBS-GLEAM_FLUH,13,0.02439548022598877,-1,2024-02-10
MOBS-GLEAM_FLUH,15,0.2,-1,2024-02-10
MOBS-GLEAM_FLUH,16,0.09491549295774654,-1,2024-02-10
MOBS-GLEAM_FLUH,17,0.003676470588235294,-1,2024-02-10
MOBS-GLEAM_FLUH,18,0.2185430463576159,-1,2024-02-10
MOBS-GLEAM_FLUH,19,0.1588785046728972,-1,2024-02-10
MOBS-GLEAM_FLUH,20,0.23008849557522124,-1,2024-02-10
MOBS-GLEAM_FLUH,21,0.007048888888888946,-1,2024-02-10
MOBS-GLEAM_FLUH,22,0.01742276422764228,-1,2024-02-10
MOBS-GLEAM_FLUH,23,0.18461538461538463,-1,2024-02-10
MOBS-GLEAM_FLUH,24,0.08849557522123894,-1,2024-02-10
MOBS-GLEAM_FLUH,25,0.15022421524663676,-1,2024-02-10
MOBS-GLEAM_FLUH,26,0.15113871635610765,-1,2024-02-10
MOBS-GLEAM_FLUH,27,0.036513333333333356,-1,2024-02-10
MOBS-GLEAM_FLUH,28,0.23423423423423423,-1,2024-02-10
MOBS-GLEAM_FLUH,29,0.09634551495016612,-1,2024-02-10
MOBS-GLEAM_FLUH,30,0.10895294117647054,-1,2024-02-10
MOBS-GLEAM_FLUH,31,0.04700000000000007,-1,2024-02-10
MOBS-GLEAM_FLUH,32,0.05172413793103448,-1,2024-02-10
MOBS-GLEAM_FLUH,33,0.16459459459459458,-1,2024-02-10
MOBS-GLEAM_FLUH,34,0.04432024169184295,-1,2024-02-10
MOBS-GLEAM_FLUH,35,0.13885714285714276,-1,2024-02-10
MOBS-GLEAM_FLUH,36,0.13382964889466836,-1,2024-02-10
MOBS-GLEAM_FLUH,37,0.042188235294117686,-1,2024-02-10
MOBS-GLEAM_FLUH,38,0.10274999999999998,-1,2024-02-10
MOBS-GLEAM_FLUH,39,0.08291539763113374,-1,2024-02-10
MOBS-GLEAM_FLUH,40,0.11694510739856802,-1,2024-02-10
MOBS-GLEAM_FLUH,41,0.14698809523809517,-1,2024-02-10
MOBS-GLEAM_FLUH,42,0.11316222222222222,-1,2024-02-10
MOBS-GLEAM_FLUH,44,0.11764705882352941,-1,2024-02-10
MOBS-GLEAM_FLUH,45,0.17271428571428568,-1,2024-02-10
MOBS-GLEAM_FLUH,46,0.017043478260869542,-1,2024-02-10
