Model,location,target_end_date,wis,horizon,reference_date,baseline,wis_baseline,wis_ratio
NU_UCSD-GLEAM_AI_FLUH,24,2024-04-27,10.032440869565217,0,2024-04-27,FluSight-baseline,11.192706521739128,0.8963373470107185
CEPH-Rtrend_fluH,25,2024-04-27,12.36434782608696,0,2024-04-27,FluSight-baseline,39.290321739130434,0.31469194648444243
FluSight-ensemble,25,2024-04-27,21.562550852062717,0,2024-04-27,FluSight-baseline,39.290321739130434,0.5488005671022009
MIGHTE-Nsemble,25,2024-04-27,15.599226497892088,0,2024-04-27,FluSight-baseline,39.290321739130434,0.39702465664353015
MOBS-GLEAM_FLUH,25,2024-04-27,6.479007391304347,0,2024-04-27,FluSight-baseline,39.290321739130434,0.16490084846649922
NU_UCSD-GLEAM_AI_FLUH,25,2024-04-27,24.758333913043483,0,2024-04-27,FluSight-baseline,39.290321739130434,0.6301382329579119
CEPH-Rtrend_fluH,26,2024-04-27,9.56608695652174,0,2024-04-27,FluSight-baseline,33.253469565217394,0.28767184542234103
FluSight-ensemble,26,2024-04-27,15.276754915571399,0,2024-04-27,FluSight-baseline,33.253469565217394,0.4594033379166739
MIGHTE-Nsemble,26,2024-04-27,12.144274180287804,0,2024-04-27,FluSight-baseline,33.253469565217394,0.36520322056831395
MOBS-GLEAM_FLUH,26,2024-04-27,3.719439130434784,0,2024-04-27,FluSight-baseline,33.253469565217394,0.11185115956517387
NU_UCSD-GLEAM_AI_FLUH,26,2024-04-27,28.255773043478257,0,2024-04-27,FluSight-baseline,33.253469565217394,0.8497090202290756
CEPH-Rtrend_fluH,27,2024-04-27,2.8056521739130442,0,2024-04-27,FluSight-baseline,8.72449347826087,0.32158338829686645
FluSight-ensemble,27,2024-04-27,3.4992773607548093,0,2024-04-27,FluSight-baseline,8.72449347826087,0.4010865925310258
MIGHTE-Nsemble,27,2024-04-27,6.478746533347552,0,2024-04-27,FluSight-baseline,8.72449347826087,0.7425928564782442
MOBS-GLEAM_FLUH,27,2024-04-27,1.8562139130434783,0,2024-04-27,FluSight-baseline,8.72449347826087,0.21275893181290953
NU_UCSD-GLEAM_AI_FLUH,27,2024-04-27,10.237944347826087,0,2024-04-27,FluSight-baseline,8.72449347826087,1.1734714884407142
CEPH-Rtrend_fluH,28,2024-04-27,3.617391304347826,0,2024-04-27,FluSight-baseline,3.0175260869565217,1.1987937138254632
FluSight-ensemble,28,2024-04-27,2.3995227156021315,0,2024-04-27,FluSight-baseline,3.0175260869565217,0.7951953509115447
MIGHTE-Nsemble,28,2024-04-27,2.695735280427069,0,2024-04-27,FluSight-baseline,3.0175260869565217,0.8933593953270472
MOBS-GLEAM_FLUH,28,2024-04-27,3.195391739130435,0,2024-04-27,FluSight-baseline,3.0175260869565217,1.0589441970171363
NU_UCSD-GLEAM_AI_FLUH,28,2024-04-27,3.443570869565218,0,2024-04-27,FluSight-baseline,3.0175260869565217,1.1411900909325379
CEPH-Rtrend_fluH,29,2024-04-27,4.181304347826088,0,2024-04-27,FluSight-baseline,10.652771739130435,0.3925085837019352
FluSight-ensemble,29,2024-04-27,5.7497084699376,0,2024-04-27,FluSight-baseline,10.652771739130435,0.5397382588061478
MIGHTE-Nsemble,29,2024-04-27,10.246659156725133,0,2024-04-27,FluSight-baseline,10.652771739130435,0.9618772848653517
MOBS-GLEAM_FLUH,29,2024-04-27,3.382777391304348,0,2024-04-27,FluSight-baseline,10.652771739130435,0.31754903551331304
NU_UCSD-GLEAM_AI_FLUH,29,2024-04-27,17.47864130434783,0,2024-04-27,FluSight-baseline,10.652771739130435,1.6407599573493328
CEPH-Rtrend_fluH,30,2024-04-27,4.718260869565218,0,2024-04-27,FluSight-baseline,1.880689130434783,2.5087936082633906
